year,moth,day,phenomenon,weather_condition,min_temp,med_temp,max_temp,city
2020,1,2,Nebbia  ,nebbia al mattino ,-2 °C ,3 °C ,11 °C ,Mantova
2020,1,3,Nebbia  ,nebbia al mattino ,-4 °C ,1 °C ,8 °C ,Mantova
2020,1,4,Nessuno ,sereno ,-3 °C ,3 °C ,11 °C ,Mantova
2020,1,5,Nessuno ,sereno ,-1 °C ,5 °C ,13 °C ,Mantova
2020,1,6,Nebbia  ,nebbia al mattino ,-1 °C ,3 °C ,9 °C ,Mantova
2020,1,7,Nebbia  ,nebbia ,-5 °C ,-2 °C ,0 °C ,Mantova
2020,1,8,Nebbia  ,nebbia ,-3 °C ,-1 °C ,1 °C ,Mantova
2020,1,9,Nebbia  ,nebbia al mattino ,-4 °C ,0 °C ,7 °C ,Mantova
2020,1,10,Nebbia  ,nebbia al mattino ,-4 °C ,1 °C ,8 °C ,Mantova
2020,1,11,Nebbia  ,sereno ,-2 °C ,4 °C ,13 °C ,Mantova
2020,1,12,Nessuno ,sereno ,-1 °C ,4 °C ,10 °C ,Mantova
2020,1,13,Nessuno ,sereno ,-4 °C ,1 °C ,9 °C ,Mantova
2020,1,14,Nessuno ,poco nuvoloso ,-5 °C ,1 °C ,5 °C ,Mantova
2020,1,15,Nessuno ,nubi sparse ,1 °C ,4 °C ,7 °C ,Mantova
2020,1,16,Nebbia  ,poco nuvoloso ,0 °C ,4 °C ,10 °C ,Mantova
2020,1,17,Pioggia  ,poco nuvoloso ,-2 °C ,4 °C ,12 °C ,Mantova
2020,1,18,Pioggia  ,pioggia e schiarite ,5 °C ,6 °C ,8 °C ,Mantova
2020,1,19,Pioggia  ,nubi sparse ,4 °C ,6 °C ,8 °C ,Mantova
2020,1,20,Nessuno ,poco nuvoloso ,0 °C ,5 °C ,10 °C ,Mantova
2020,1,21,Nessuno ,sereno ,-3 °C ,2 °C ,9 °C ,Mantova
2020,1,22,Nessuno ,sereno ,-2 °C ,2 °C ,9 °C ,Mantova
2020,1,23,Nessuno ,sereno ,-3 °C ,2 °C ,10 °C ,Mantova
2020,1,24,Pioggia  ,poco nuvoloso ,-3 °C ,3 °C ,8 °C ,Mantova
2020,1,25,Pioggia  ,pioggia e schiarite ,5 °C ,6 °C ,8 °C ,Mantova
2020,1,26,Pioggia - Nebbia  ,pioggia e schiarite ,1 °C ,6 °C ,10 °C ,Mantova
2020,1,27,Nebbia  ,nebbia al mattino ,0 °C ,5 °C ,12 °C ,Mantova
2020,1,28,Pioggia - Nebbia  ,pioggia e schiarite ,5 °C ,7 °C ,9 °C ,Mantova
2020,1,29,Nebbia  ,sereno ,0 °C ,6 °C ,13 °C ,Mantova
2020,1,30,Nebbia  ,nebbia al mattino ,-1 °C ,3 °C ,9 °C ,Mantova
2020,1,31,Nebbia  ,nebbia al mattino ,0 °C ,6 °C ,12 °C ,Mantova
2020,2,1,Pioggia  ,pioggia e schiarite ,7 °C ,8 °C ,9 °C ,Mantova
2020,2,2,Nebbia  ,nebbia al mattino ,4 °C ,6 °C ,9 °C ,Mantova
2020,2,3,Nebbia  ,nebbia al mattino ,5 °C ,7 °C ,10 °C ,Mantova
2020,2,4,Nebbia  ,nebbia al mattino ,5 °C ,8 °C ,16 °C ,Mantova
2020,2,5,Nessuno ,sereno ,-1 °C ,8 °C ,14 °C ,Mantova
2020,2,6,Nessuno ,sereno ,-2 °C ,5 °C ,11 °C ,Mantova
2020,2,7,Nessuno ,sereno ,-3 °C ,4 °C ,11 °C ,Mantova
2020,2,8,Nessuno ,sereno ,-2 °C ,4 °C ,11 °C ,Mantova
2020,2,9,Pioggia  ,poco nuvoloso ,-2 °C ,5 °C ,11 °C ,Mantova
2020,2,10,Pioggia - Nebbia  ,pioggia e schiarite ,2 °C ,6 °C ,12 °C ,Mantova
2020,2,11,Nebbia  ,nebbia al mattino ,1 °C ,9 °C ,19 °C ,Mantova
2020,2,12,Nessuno ,poco nuvoloso ,0 °C ,7 °C ,16 °C ,Mantova
